# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.600000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.909097e+00	1.345023e+00	1.564074e+00	2.345977e-16	5.121650e-02	-5.121650e-02	5.121650e-02	-1.095253e-01	-1.591629e+01	6.221035e+00	-1.280577e+01	1.902681e+01
2             	2.121414e+00	9.796931e-01	1.141721e+00	2.350857e-16	3.734884e-02	-3.734884e-02	3.734884e-02	-8.101388e-02	-9.133061e+00	4.601588e+00	-6.832267e+00	1.143385e+01
3             	7.350209e-03	1.706998e-03	5.643211e-03	7.764172e-17	1.294051e-04	-1.294051e-04	1.294051e-04	-1.968107e-03	1.840491e+00	1.117885e-01	1.896386e+00	-1.784597e+00
4             	-1.278549e+00	-6.051711e-01	-6.733776e-01	-1.525109e-16	-2.250966e-02	2.250966e-02	-2.250966e-02	3.410325e-02	6.557868e+00	-1.937064e+00	5.589336e+00	-7.526400e+00
5             	-1.016060e+00	-5.010984e-01	-5.149618e-01	-3.081939e-16	-1.788838e-02	1.788838e-02	-1.788838e-02	6.931714e-03	4.994495e+00	-3.937214e-01	4.797634e+00	-5.191356e+00
6             	4.124367e-02	-1.565693e-02	5.690060e-02	-2.994298e-16	7.261210e-04	-7.261210e-04	7.261210e-04	-3.627876e-02	-8.617738e-01	2.060634e+00	1.685430e-01	1.892091e+00
7             	7.694634e-01	3.320956e-01	4.373679e-01	-1.944341e-16	1.354689e-02	-1.354689e-02	1.354689e-02	-5.263616e-02	-7.074312e+00	2.989734e+00	-5.579445e+00	8.569179e+00
8             	8.283468e-01	3.768313e-01	4.515155e-01	-5.091050e-17	1.458357e-02	-1.458357e-02	1.458357e-02	-3.734211e-02	-1.065559e+01	2.121032e+00	-9.595072e+00	1.171610e+01
9             	3.559422e-01	1.643112e-01	1.916310e-01	4.110821e-18	6.266587e-03	-6.266587e-03	6.266587e-03	-1.365991e-02	-9.939395e+00	7.758827e-01	-9.551453e+00	1.032734e+01
10            	-1.172212e-01	-6.205179e-02	-5.516944e-02	-3.683683e-17	-2.063754e-03	2.063754e-03	-2.063754e-03	-3.441175e-03	-6.167439e+00	1.954587e-01	-6.069710e+00	6.265169e+00
