# Region type : patch wall
# Faces       : 46496
# Area        : 1.255632e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(wallShearStress)
10            	(-2.311215e-10 5.834130e-12 -2.620493e-04)
20            	(-1.294949e-11 -3.756553e-11 -1.876342e-04)
30            	(-2.271690e-11 -4.189926e-11 -1.591890e-04)
40            	(-4.974359e-11 -1.771487e-11 -1.441261e-04)
50            	(-6.319759e-11 -6.287623e-12 -1.344603e-04)
60            	(-8.785675e-11 -2.765729e-11 -1.277728e-04)
70            	(-9.356351e-11 -2.299111e-11 -1.227719e-04)
80            	(-7.809619e-11 -2.443501e-11 -1.190895e-04)
90            	(-6.881067e-11 -2.983123e-11 -1.163373e-04)
100           	(-4.595698e-11 -2.827698e-11 -1.143831e-04)
110           	(-3.691583e-11 -3.982012e-11 -1.131897e-04)
120           	(-2.833880e-11 -6.366187e-11 -1.125625e-04)
130           	(1.889265e-11 -4.906396e-11 -1.122205e-04)
149           	(5.612454e-12 -3.173957e-11 -1.116750e-04)
