# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
1             	smoothSolver	1.000000e+00	5.090730e-06	11	1.000000e+00	5.086080e-06	11	1.000000e+00	6.814050e-06	9	false	smoothSolver	1.000000e+00	3.959680e-06	5	true	DICPCG	1.000000e+00	4.622020e-02	559	true	smoothSolver	1.667560e-02	1.906110e-06	5	true
2             	smoothSolver	2.633940e-01	4.286890e-06	10	2.635530e-01	4.321400e-06	10	1.256000e-01	7.135830e-06	8	false	smoothSolver	8.415040e-01	2.424830e-06	5	true	DICPCG	8.239590e-02	4.026550e-03	541	true	smoothSolver	5.464770e-02	7.578150e-06	2	true
3             	smoothSolver	1.378140e-01	8.497440e-06	9	1.373180e-01	8.468890e-06	9	4.873300e-02	8.562380e-06	7	false	smoothSolver	5.561720e-01	3.226770e-06	5	true	DICPCG	3.979680e-02	1.745030e-03	571	true	smoothSolver	2.661300e-03	3.296980e-06	2	true
4             	smoothSolver	8.101770e-02	5.728010e-06	9	8.050570e-02	5.523600e-06	9	2.975150e-02	5.383910e-06	7	false	smoothSolver	2.764730e-01	2.584930e-06	5	true	DICPCG	4.223550e-02	2.066430e-03	33	true	smoothSolver	5.296610e-04	7.738780e-07	2	true
5             	smoothSolver	5.638670e-02	7.819970e-06	8	5.608310e-02	7.770110e-06	8	2.340310e-02	5.044500e-06	7	false	smoothSolver	1.380250e-01	9.132440e-06	4	true	DICPCG	1.855210e-02	8.765540e-04	568	true	smoothSolver	7.111340e-05	2.767480e-06	1	true
6             	smoothSolver	5.530850e-02	7.054710e-06	8	5.516100e-02	7.008530e-06	8	1.655960e-02	7.970050e-06	6	false	smoothSolver	7.945960e-02	7.478130e-06	4	true	DICPCG	3.839850e-02	1.839900e-03	13	true	smoothSolver	3.106520e-05	1.587260e-06	1	true
7             	smoothSolver	4.259430e-02	5.662070e-06	8	4.244820e-02	5.666120e-06	8	1.417350e-02	7.592110e-06	6	false	smoothSolver	4.996230e-02	6.714870e-06	4	true	DICPCG	1.658140e-02	7.556790e-04	561	true	smoothSolver	1.175160e-05	1.250980e-06	1	true
8             	smoothSolver	3.399460e-02	4.887810e-06	8	3.391790e-02	4.860540e-06	8	1.300440e-02	8.039030e-06	6	false	smoothSolver	3.408920e-02	6.030070e-06	4	true	DICPCG	1.353370e-02	6.496380e-04	580	true	smoothSolver	1.216170e-05	1.263880e-06	1	true
9             	smoothSolver	2.898120e-02	4.236110e-06	8	2.886960e-02	4.164900e-06	8	1.127370e-02	6.858220e-06	6	false	smoothSolver	2.516700e-02	5.892190e-06	4	true	DICPCG	1.297020e-02	6.069930e-04	12	true	smoothSolver	1.008700e-05	1.242310e-06	1	true
10            	smoothSolver	2.440050e-02	9.288660e-06	7	2.436240e-02	9.202450e-06	7	1.027810e-02	6.659660e-06	6	false	smoothSolver	1.928590e-02	5.349310e-06	4	true	DICPCG	8.285110e-03	4.026510e-04	607	true	smoothSolver	9.489390e-06	9.489390e-06	0	true
11            	smoothSolver	2.430090e-02	8.825560e-06	7	2.430940e-02	8.763140e-06	7	8.952720e-03	5.547230e-06	6	false	smoothSolver	1.570240e-02	5.076110e-06	4	true	DICPCG	1.482740e-02	7.295360e-04	9	true	smoothSolver	1.461100e-05	1.477570e-06	1	true
12            	smoothSolver	2.041880e-02	7.923340e-06	7	2.042840e-02	7.872740e-06	7	8.258560e-03	5.412380e-06	6	false	smoothSolver	1.288660e-02	4.833690e-06	4	true	DICPCG	8.544700e-03	4.078110e-04	35	true	smoothSolver	8.757790e-06	8.757790e-06	0	true
