# Wall shear stress
# Time          	patch           	min             	max             
10              	wall	(-4.62819091e-04 -4.63032661e-04 -1.77184989e-03)	(4.62552259e-04 4.62831001e-04 -4.72725579e-05)
20              	wall	(-4.41182380e-04 -4.41910685e-04 -1.75268444e-03)	(4.41811549e-04 4.41847175e-04 -6.61221779e-05)
30              	wall	(-4.37178781e-04 -4.37370599e-04 -1.76039082e-03)	(4.37372599e-04 4.37371941e-04 -8.11190586e-05)
40              	wall	(-4.35045433e-04 -4.35240059e-04 -1.76642510e-03)	(4.35237601e-04 4.35321645e-04 -7.75311863e-05)
50              	wall	(-4.33610927e-04 -4.33818924e-04 -1.77106809e-03)	(4.33822721e-04 4.33842328e-04 -6.59726768e-05)
60              	wall	(-4.32941675e-04 -4.33168328e-04 -1.77497050e-03)	(4.33137871e-04 4.33169613e-04 -5.85196844e-05)
70              	wall	(-4.32257936e-04 -4.32480982e-04 -1.77800379e-03)	(4.32406983e-04 4.32432422e-04 -5.33704664e-05)
80              	wall	(-4.31946131e-04 -4.32121129e-04 -1.78059712e-03)	(4.32130926e-04 4.32140912e-04 -4.97799883e-05)
90              	wall	(-4.31702134e-04 -4.31884402e-04 -1.78263826e-03)	(4.31847615e-04 4.31853294e-04 -4.69865572e-05)
100             	wall	(-4.31546829e-04 -4.31713620e-04 -1.78428979e-03)	(4.31696057e-04 4.31696057e-04 -4.48649008e-05)
110             	wall	(-4.31338827e-04 -4.31504643e-04 -1.78555808e-03)	(4.31485567e-04 4.31480070e-04 -4.31648129e-05)
120             	wall	(-4.31346788e-04 -4.31502457e-04 -1.78644488e-03)	(4.31515448e-04 4.31509592e-04 -4.19925980e-05)
130             	wall	(-4.31404539e-04 -4.31555528e-04 -1.78690207e-03)	(4.31564905e-04 4.31541851e-04 -4.08306105e-05)
149             	wall	(-4.31507966e-04 -4.31653930e-04 -1.78772152e-03)	(4.31657189e-04 4.31637008e-04 -3.93182995e-05)
